"","df.Sighting","df.Date","df.Year","df.Group","df.Location","df.lat","df.lon","df.Species","u.valid_name","u.kingdom","u.phylum","u.order","u.family","u.genus"
"1160","2012S0008","2012-03-29","2012","Others","Shing Mun River",22.3745034674261,114.182527772196,"Dunaliella ","Dunaliellales","Plantae","Chlorophyta","Dunaliellales",NA,NA
"1172","2012S0021","2012-04-25","2012","Others","Yim Tin Tsai Fish Culture Zone",22.4533582238171,114.204797269775,"Heterosigma akashiwo","Heterosigma akashiwo virus 01","Viruses",NA,NA,"Phycodnaviridae","Raphidovirus"
"1179","2012S0025","2012-06-18","2012","Dinoflagellates","Yim Tin Tsai Fish Culture Zone",22.4531155812307,114.205740222111,"Neoceratium furca",NA,NA,NA,NA,NA,NA
"1180","2012S0026","2012-08-03","2012","Dinoflagellates","Tolo Harbour,Tai Mei Tuk,Yim Tin Tsai and Yim Tin Tsai (East) Fish Culture zones",22.4379718223145,114.214983210385,"Scrippsiella trochoidea",NA,NA,NA,NA,NA,NA
"1181","2012S0027","2012-08-06","2012","Dinoflagellates","Mirs Bay and Tung Ping Chau Marine Park",22.5242836229416,114.365920404104,"Scrippsiella trochoidea",NA,NA,NA,NA,NA,NA
"1188","2013S0002","2013-02-14","2013","Others","Entrance of Tuen Mun River Channel",22.3790645909573,113.968151295091,"Heterosigma akashiwo","Heterosigma akashiwo virus 01","Viruses",NA,NA,"Phycodnaviridae","Raphidovirus"
"1191","2013S0005","2013-04-12","2013","Dinoflagellates","Yung Shue Au Fish Culture Zone",22.4280403598911,114.278627966798,"Neoceratium furca",NA,NA,NA,NA,NA,NA
"1192","2013S0006","2013-04-16","2013","Dinoflagellates","Wong Chuk Kok Hoi and Wong Wan fish culture zone",22.5070276872303,114.311238390505,"Neoceratium furca",NA,NA,NA,NA,NA,NA
"1193","2013S0007","2013-04-17","2013","Dinoflagellates","Sham Wan fish culture zone",22.440327484062,114.352349569551,"Neoceratium furca",NA,NA,NA,NA,NA,NA
"1194","2013S0008","2013-06-12","2013","Dinoflagellates","Yung Shue Au Fish Culture Zone",22.4253239014771,114.278045237552,"Scrippsiella trochoidea",NA,NA,NA,NA,NA,NA
"1196","2013S0010","2013-06-20","2013","Dinoflagellates","Yim Tin Tsai East Fish Culture Zone",22.4545337827367,114.222389736805,"Scrippsiella trochoidea",NA,NA,NA,NA,NA,NA
